YEAR,MONTH,ALLOCATION
2024,July,"381,879,296.69"
2024,June,"318,898,262.67"
2024,May,"332,370,452.40"
2024,April,"322,563,915.72"
2024,March,"303,318,832.95"
2024,February,"319,559,798.38"
2024,January,"326,292,510.80"
2023,December,"298,903,310.89"
2023,November,"257,067,873.48"
2023,October,"242,982,677.90"
2023,September,"302,980,441.20"
2023,August,"275,900,878.30"
2023,July,"252,409,739.89"
2023,June,"257,900,752.44"
2023,May,"247,109,385.47"
2023,April,"196,848,727.91"
2023,March,"199,078,059.57"
2023,February,"204,055,373.77"
2023,January,"257,885,730.71"
2022,December,"236,775,577.67"
2022,November,"204,914,335.23"
2022,October,"200,411,081.20"
2022,September,"189,871,172.17"
2022,August,"249,495,264.83"
2022,July,"212,183,082.55"
2022,June,"197,285,675.22"
2022,May,"173,108,890.57"
2022,April,"192,771,943.48"
2022,March,"162,579,207.91"
2022,February,"149,928,162.25"
2022,January,"189,623,914.97"
2021,December,"177,489,580.16"
2021,February,"155,654,595.70"
2021,January,"150,286,736.57"
2020,December,"142,799,687.49"
2020,November,"142,799,687.49"
2020,October,"159,049,037.77"
2020,September,"169,862,795.95"
2020,August,"171,849,462.45"
2020,July,"167,433,068.74"
2020,June,"137,605,976.55"
2020,May,"152,810,375.04"
2020,April,"162,125,949.74"
2020,March,"142,747,772.25"
2020,February,"159,608,922.42"